ZWD;Vnummer;Statutaire Naam;Kontaktpersoon;Mailadres
202EAG;V0202;Vereniging Van Eigenaars Gebouw Bijlmerdreef 903 Tot En Met 933 (Oneven Nummers) Te Amsterdam;Lady;lady@disney.com
203EAG;V0203;Vereniging Van Eigenaars Gebouw Bijlmerdreef 903 Tot En Met 933 (Oneven Nummers) Te Amsterdam;Tramp;tramp@disney.com
204EAG;V0204;Vereniging Van Eigenaars Gebouw Bijlmerdreef 903 Tot En Met 933 (Oneven Nummers) Te Amsterdam;Jock;jock@disney.com
205EAK;V0205;"Vereniging Van Eigenaars Silo ""Tretjakov"" Aan/Nabij De Tretjakovlaan Te Amsterdam";Trusty;trusty@disney.com
206EAK;V0206;"Vereniging Van Eigenaars Silo ""Tretjakov"" Aan/Nabij De Tretjakovlaan Te Amsterdam";Peg;peg@disney.com
207HBO;V0207;Vereniging Van Eigenaars Van Het Gebouw Louis Chrispijnstraat 3 Tot En Met 25 En Esther De Boer Van Rijkstraat 2 Tot En Met 14 Te Amsterdam;Tony;tony@disney.com
208HBO;V0208;Vereniging Van Eigenaars Van Het Gebouw Louis Chrispijnstraat 3 Tot En Met 25 En Esther De Boer Van Rijkstraat 2 Tot En Met 14 Te Amsterdam;Joe;joe@disney.com
209EAG;V0209;"Vereniging Van Eigenaars Van ""Urban Villa Ii"", Gelegen Aan Professor J.H.Gunningstraat Te Amsterdam";Prins Phillip;prins.phillip@disney.com
210EAG;V0210;"Vereniging Van Eigenaars Van ""Urban Villa Ii"", Gelegen Aan Professor J.H.Gunningstraat Te Amsterdam";Maleficent;maleficent@disney.com
211EAG;V0211;Vereniging van Eigenaars van het Ensemble Van Abbe te Amsterdam;Flora;flora@disney.com
212HBO;V0212;"Vereniging Van Eigenaars ""Wamelplein Te Amsterdam""";Fauna;fauna@disney.com
213HBO;V0213;"Vereniging Van Eigenaars ""Wamelplein Te Amsterdam""";Merryweather;merryweather@disney.com
214HBO;V0214;"Vereniging Van Eigenaars ""Wamelplein Te Amsterdam""";Koning Stefan;koning.stefan@disney.com
215HBO;V0215;Vereniging Van Eigenaars Gaasperdam Ii-Voorthuizenstraat;Koningin Leah;koningin.leah@disney.com
216HBO;V0216;Vereniging Van Eigenaars Gaasperdam Ii-Voorthuizenstraat;Arthur;arthur@disney.com
217HBO;V0217;Vereniging Van Eigenaars Gaasperdam Ii-Voorthuizenstraat;Merlijn;merlijn@disney.com
218HBO;V0218;Vereniging van Eigenaars van het gebouw Esther de Boer-van Rijkstraat II te Amsterdam;Archimedes;archimedes@disney.com
219HBO;V0219;Vereniging van Eigenaars van het gebouw Esther de Boer-van Rijkstraat II te Amsterdam;Mevrouw Mim;mevrouw.mim@disney.com
220EAG;V0220;Vereniging van Eigenaars van het Ensemble Teyler te Amsterdam;Sir Ector;sir.ector@disney.com
221EAG;V0221;Vereniging van Eigenaars van het Ensemble Teyler te Amsterdam;Kay;kay@disney.com
222EAG;V0222;Vereniging van Eigenaars van het Ensemble Rietveld te Amsterdam;Mowgli;mowgli@disney.com
223EAG;V0223;Vereniging van Eigenaars van het Ensemble Rietveld te Amsterdam;Baloe;baloe@disney.com
224EAG;V0224;Vereniging van Eigenaars van het Ensemble Singer te Amsterdam;Bagheera;bagheera@disney.com
225EAG;V0225;Vereniging van Eigenaars van het Ensemble Singer te Amsterdam;Koning Louie;koning.louie@disney.com
226HBO;V0226;"Vereniging Van Eigenaars ""Venserpolder Blok 17"".";Shere Khan;shere.khan@disney.com
227HBO;V0227;"Vereniging Van Eigenaars ""Venserpolder Blok 17"".";Kaa;kaa@disney.com
228EAG;V0228;Vereniging van Eigenaars van het Gebouw Rietveld Schröder te Amsterdam;Kolonel Hathi;kolonel.hathi@disney.com
229EAG;V0229;Vereniging van Eigenaars van het Gebouw Rietveld Schröder te Amsterdam;Hertogin;hertogin@disney.com
230EAG;V0230;Vereniging van Eigenaars van het Ensemble Boymans te Amsterdam;Thomas O'Malley;thomas.omalley@disney.com
231EAG;V0231;Vereniging van Eigenaars van het Ensemble Boymans te Amsterdam;Marie;marie@disney.com
232HBO;V0232;Vereniging van Eigenaars van het gebouw Wamelplein 58 tot en met 100 en 123 tot en met 178 (doorlopende nummers) te Amsterdam;Berlioz;berlioz@disney.com
233HBO;V0233;Vereniging van Eigenaars van het gebouw Wamelplein 58 tot en met 100 en 123 tot en met 178 (doorlopende nummers) te Amsterdam;Toulouse;toulouse@disney.com
234EAG;V0234;Vereniging van Eigenaars van het gebouw Wida te Amsterdam;Edgar;edgar@disney.com
235EAG;V0235;Vereniging van Eigenaars van het gebouw Wida te Amsterdam;Robin Hood;robin.hood@disney.com
236EAG;V0236;Vereniging van Eigenaars van het gebouw Wida te Amsterdam;Kleine Jan;kleine.jan@disney.com
237EAG;V0237;Vereniging van Eigenaars Klein Gooioord te Amsterdam;Maid Marian;maid.marian@disney.com
238EAG;V0238;Vereniging van Eigenaars Klein Gooioord te Amsterdam;Prins Jan;prins.jan@disney.com
239EAK;V0239;Vereniging van Eigenaars Ank van der Moerstraat 32;Sir Hiss;sir.hiss@disney.com
240EAG;V0240;"Vereniging van Eigenaars ""Woonambiance Jan de Louterhof"" te Amsterdam";Winnie de Poeh;winnie.de.poeh@disney.com
241HBO;V0241;Vereniging Van Eigenaars Torenwijck V Te Amsterdam;Tigger;tigger@disney.com
242HBO;V0242;Vereniging van Eigenaars gebouwencomplex Bernard Kochstr. 13 - 23, Bertelmanplein 1 - 13, Bertelmanstr. 1 - 33, Des Présstr. 20 - 30 en Pieter Lastmankade 43 - 70 te Amsterdam;Knorretje;knorretje@disney.com
243HBO;V0243;Vereniging van Eigenaars gebouwencomplex Bernard Kochstr. 13 - 23, Bertelmanplein 1 - 13, Bertelmanstr. 1 - 33, Des Présstr. 20 - 30 en Pieter Lastmankade 43 - 70 te Amsterdam;Ieoor;ieoor@disney.com
244EAK;V0244;Vereniging van Eigenaars President Kennedylaan 26/28 te Amsterdam;Konijn;konijn@disney.com
245EAK;V0245;Vereniging van Eigenaars President Kennedylaan 26/28 te Amsterdam;Uil;uil@disney.com
246EAG;V0246;Vereniging Van Eigenaars Van Het Complex Schoener En Tjalk Aan De Jan Van Duivenvoorderstraat Te Amsterdam;Kanga;kanga@disney.com
247EAG;V0247;Vereniging Van Eigenaars Van Het Complex Schoener En Tjalk Aan De Jan Van Duivenvoorderstraat Te Amsterdam;Roe;roe@disney.com
248HBO;V0248;De Vereniging Van Eigenaars Van Het Perceel Van Tuyll Van Serooskerkenweg 47 Tot En Met 55 (Oneven Nummers) Te Amsterdam;Christopher Robin;christopher.robin@disney.com
249HBO;V0249;De Vereniging Van Eigenaars Van Het Perceel Van Tuyll Van Serooskerkenweg 47 Tot En Met 55 (Oneven Nummers) Te Amsterdam;Bernard;bernard@disney.com
250EAG;V0250;Vereniging van Eigenaars van het Gebouw Lakenhal te Amsterdam;Bianca;bianca@disney.com
251EAG;V0251;Vereniging van Eigenaars van het Gebouw Lakenhal te Amsterdam;Madame Medusa;madame.medusa@disney.com
252EAG;V0252;Vereniging van Eigenaars van het Gebouw Lakenhal te Amsterdam;Meneer Snoops;meneer.snoops@disney.com
253EAK;V0253;Vereniging van Eigenaars Agamemnonstraat 51 te Amsterdam;Tod;tod@disney.com
254EAK;V0254;Vereniging van Eigenaars Agamemnonstraat 51 te Amsterdam;Copper;copper@disney.com
255EAK;V0255;Vereniging Van Eigenaars Jasonstraat 53 Te Amsterdam;Grote Mama;grote.mama@disney.com
256EAK;V0256;Vereniging Van Eigenaars Jasonstraat 53 Te Amsterdam;Amos Slade;amos.slade@disney.com
257HBO;V0257;Vereniging van Eigenaren van het flatgebouw Johan Huizingalaan 250-344 te Amsterdam;Chef;chef@disney.com
258HBO;V0258;Vereniging Van Eigenaars Oostzaanstraat 10-96 te Amsterdam;Taran;taran@disney.com
259HBO;V0259;Vereniging Van Eigenaars Oostzaanstraat 10-96 te Amsterdam;Eilonwy;eilonwy@disney.com
260HBO;V0260;Vereniging Van Eigenaars Leerdamhof 431 Tot En Met 479 Te Amsterdam;Gurgi;gurgi@disney.com
261HBO;V0261;Vereniging Van Eigenaars Leerdamhof 431 Tot En Met 479 Te Amsterdam;Fflewddur Fflam;fflewddur.fflam@disney.com
262HBO;V0262;Vereniging Van Eigenaars Aaf Bouberstraat 2-76 Te Amsterdam;De Gehoornde Koning;de.gehoornde.koning@disney.com
263HBO;V0263;Vereniging Van Eigenaars Aaf Bouberstraat 2-76 Te Amsterdam;Basil;basil@disney.com
264HBO;V0264;Vereniging van Eigenaars Aaf Bouberstraat 80 - 154 te Amsterdam;Dr. Dawson;dr..dawson@disney.com
265HBO;V0265;Vereniging van Eigenaars Aaf Bouberstraat 80 - 154 te Amsterdam;Olivia Flaversham;olivia.flaversham@disney.com
266HBO;V0266;Vereniging ven Eigenaars Jan Muschstraat 2-76 te Amsterdam;Professor Ratigan;professor.ratigan@disney.com
267HBO;V0267;Vereniging ven Eigenaars Jan Muschstraat 2-76 te Amsterdam;Oliver;oliver@disney.com
268EAK;V0268;Vereniging Van Eigenaars Gebouw Van Tuyll Van Serooskerkenweg 50-58 Te Amsterdam;Dodger;dodger@disney.com
269EAK;V0269;Vereniging Van Eigenaars Gebouw Van Tuyll Van Serooskerkenweg 50-58 Te Amsterdam;Jenny;jenny@disney.com
270EAK;V0270;Vereniging van Eigenaars van het gebouw Rijnstraat 238-240;Fagin;fagin@disney.com
271EAK;V0271;Vereniging van Eigenaars van het gebouw Rijnstraat 238-240;Sykes;sykes@disney.com
272EAG;V0272;Vereniging van Eigenaars Willem Schoutenpoort;Tito;tito@disney.com
273EAG;V0273;Vereniging van Eigenaars Willem Schoutenpoort;Gouverneur Ratcliffe;gouverneur.ratcliffe@disney.com
274HBO;V0274;"Vereniging van eigenaars van het torengebouw ""Zuiderhoofd"" Kempenlaan 1-20 te Amsterdam";Kocoum;kocoum@disney.com
275HBO;V0275;"Vereniging van eigenaars van het torengebouw ""Zuiderhoofd"" Kempenlaan 1-20 te Amsterdam";Clopin;clopin@disney.com
276HBO;V0276;(onder)Vereniging van eigenaars Burgemeester Hogguerstraat 1 tot en met 49 en 53 tot en met 389 (oneven) te Amsterdam;Djali;djali@disney.com
277HBO;V0277;(onder)Vereniging van eigenaars Burgemeester Hogguerstraat 1 tot en met 49 en 53 tot en met 389 (oneven) te Amsterdam;Pijn;pijn@disney.com
278HBO;V0278;Vereniging Van Eigenaars Zaanstraat 157 tot en met 179 (doorlopende nummers) en Zaanstraat 181 tot en met 188 (doorlopende nummers) te Amsterdam;Paniek;paniek@disney.com
279HBO;V0279;Vereniging Van Eigenaars Zaanstraat 157 tot en met 179 (doorlopende nummers) en Zaanstraat 181 tot en met 188 (doorlopende nummers) te Amsterdam;De Keizer;de.keizer@disney.com
280HBO;V0280;Vereniging van Eigenaars Polsbroekstraat 1 tot en met 24 te Amsterdam;Fa Zhou;fa.zhou@disney.com
281HBO;V0281;Vereniging van Eigenaars Polsbroekstraat 1 tot en met 24 te Amsterdam;Fa Li;fa.li@disney.com
282HBO;V0282;Vereniging van Eigenaars van Geuzenhof II te Amsterdam;Professor Porter;professor.porter@disney.com
283HBO;V0283;Vereniging van Eigenaars van Geuzenhof II te Amsterdam;Archimedes Q. Porter;archimedes.q..porter@disney.com
284EAG;V0284;Vereniging van Eigenaars Balboa te Amsterdam;Mertle;mertle@disney.com
285EAG;V0285;Vereniging van Eigenaars Balboa te Amsterdam;De Ringmeester;de.ringmeester@disney.com
286EAG;V0286;Vereniging van Eigenaars Balboa te Amsterdam;De Stabbington Broers;de.stabbington.broers@disney.com
287EAK;V0287;Vereniging van Eigenaars Spaarndammerstraat 43 te Amsterdam;De Circusdirecteur;de.circusdirecteur@disney.com
288EAK;V0288;Vereniging van Eigenaars Spaarndammerstraat 43 te Amsterdam;De Heks;de.heks@disney.com
